method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,kernel,kernel_label,observation_seed,kernel_type,kernel_lengthscale,kernel_lengthscale_y
censored Laplace,0.08575775628436165,0.21211740347329053,1520.195695818044,1004.2504958014595,515.9452000165845,0.6034482758620694,0.12068965517241415,999.4805888019024,28.16035866313515,944.2862858221575,1054.6748917816474,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,2,path_aligned,2.1,0.45
censored sampled,0.0891165547571474,0.21607863168598415,1520.195695818044,1002.4777960299825,517.7178997880615,0.6034482758620694,0.12068965517241415,989.9634269909318,28.7487217442956,936.5940828709561,1042.931093015399,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,2,path_aligned,2.1,0.45
oracle true,0.05505000248864186,0.11520809233830308,1520.195695818044,1263.2565479453829,256.9391478726611,0.6034482758620694,0.12068965517241415,1263.2565479453829,12.66706243368589,1238.4291055753586,1288.0839903154072,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_aligned_tuned,path-aligned tuned,2,path_aligned,2.1,0.45
exact clipped,0.11319819848052652,0.2906360745873593,1520.195695818044,846.1167390995819,674.0789567184621,0.6034482758620694,0.12068965517241415,846.1167390995819,15.150229227769325,816.422289813154,875.8111883860098,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,3,rbf,0.7,
discard saturated,0.1585484969023529,0.4188560115908159,1520.195695818044,760.2799034665844,759.9157923514596,0.6034482758620694,0.12068965517241415,582.4562996386907,62.75756288241455,459.4514763891582,705.4611228882231,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,3,rbf,0.7,
censored Laplace,0.10704616888765732,0.271218756882113,1520.195695818044,893.8452937347699,626.350402083274,0.6034482758620694,0.12068965517241415,893.8452937347699,26.532306296646922,841.841973393342,945.8486140761979,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,3,rbf,0.7,
censored sampled,0.11663466190342776,0.2955576701164281,1520.195695818044,847.0975897968335,673.0981060212105,0.6034482758620694,0.12068965517241415,844.783080380844,52.194033197839005,746.7348405910849,942.8124912085264,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,3,rbf,0.7,
oracle true,0.06519059487598279,0.12431023290290041,1520.195695818044,1259.1113370070875,261.0843588109565,0.6034482758620694,0.12068965517241415,1259.1113370070875,15.150229227769325,1229.4168877206596,1288.8057862935154,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,0.7,0.7,790.7890913339897,isotropic_fixed,isotropic fixed,3,rbf,0.7,
exact clipped,0.11605496401889005,0.3055296808866211,1520.195695818044,834.7609197844962,685.4347760335478,0.6034482758620694,0.12068965517241415,799.8899147102478,254.18187847241762,301.6934329043093,1298.0863965161864,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,3,rbf,1.1,0.2
discard saturated,0.14052493671841465,0.3635822012844784,1520.195695818044,1014.2301032986522,505.96559251939175,0.6034482758620694,0.12068965517241415,654.504214960917,258.8013944297129,147.25348187867974,1161.7549480431544,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,3,rbf,1.1,0.2
censored Laplace,0.10943655217195591,0.267856335673205,1520.195695818044,1017.7926033211907,502.40309249685333,0.6034482758620694,0.12068965517241415,851.5139206584653,254.73398634638247,352.2353074195557,1350.7925338973748,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,3,rbf,1.1,0.2
censored sampled,0.18807262634129004,0.22107110535051333,1520.195695818044,1100.9949422914651,419.20075352657886,0.6034482758620694,0.12068965517241415,1038.9767592445146,305.43493842816264,621.7574553217141,1667.4052163184099,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,anisotropic_informed,global anisotropic,3,rbf,1.1,0.2
