region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,model,state_representation,propagation,gamma_mode,region_basis,stage
overall,2501,0.4959197604359133,0.18323751106724565,0.02956660508557204,0.6576937353011829,0.9920031987205118,2.519285073664434,1.0,0.0,-0.044776671143867526,0.718057147576905,0.2814186820318865,0.1621094529368115,0.0075969612155137945,0.2076673076564277,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n
above_camera_ceiling,76,2.5602695588366693,1.2415624373480376,-0.9377540716141787,0.686773273062383,0.7763157894736842,2.617852955591173,1.0,0.0,1.345093477494915,3.6354151195649242,1.7858165910186563,0.7150735491903573,0.19736842105263158,1.0505690120407565,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n
current_top_1pct,26,4.332790186262792,2.9093660030320163,-2.817971837468224,0.696287084777891,0.38461538461538464,2.655348122856378,1.0,0.0,4.030313440163402,6.146052337082248,4.160112561006586,2.1237557648053285,0.5769230769230769,2.574610058944543,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | mean-only | fixed gamma,hybrid previous state,mean-only,fixed gamma,current-frame truth,current posterior after Y_n
overall,2501,0.4909638486661819,0.1572866221695654,0.05604528287844399,0.7227159706992384,0.9956017592962815,2.764827534677738,1.0,0.0,-0.08407472035557627,0.5989448776956631,0.2083674374632349,0.08938738042236838,0.004398240703718513,0.21404246014007502,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n
above_camera_ceiling,76,2.569069276644154,1.234740936672304,-0.9319466917652433,0.9154405783267606,0.8552631578947368,3.486600787598775,1.0,0.0,1.0678960582449617,3.057701669600812,1.395195014295715,0.5067277645624236,0.14473684210526316,1.0347576695594554,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n
current_top_1pct,26,4.351635218809813,2.9229841554849236,-2.833016023372144,1.0068447620954553,0.5769230769230769,3.8685408568206365,1.0,0.0,3.220257623848354,5.181224733242838,3.2806070649023575,1.8282574975505743,0.4230769230769231,2.4876283286740697,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current forecast before Y_n
overall,2501,0.4963981355185645,0.1832593072415583,0.029210693965716534,0.6646157021364962,0.995201919232307,2.545629895445629,1.0,0.0,-0.05051387816904509,0.6308014408052913,0.2692994711515164,0.16157610155216728,0.004398240703718513,0.20722280816772207,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n
above_camera_ceiling,76,2.563992533748341,1.2435746150788007,-0.9481317011514422,0.8898572320324438,0.8421052631578947,3.3957297030011286,1.0,0.0,1.1038789392841344,3.086182698072544,1.439471010966492,0.5497003189348142,0.14473684210526316,1.0452336549603656,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n
current_top_1pct,26,4.33964153706886,2.9188923556522903,-2.8325727543482695,0.990613035497453,0.5384615384615384,3.7779323607128563,1.0,0.0,3.2700012001082,5.218920311923379,3.3281534078410226,1.898224636247566,0.4230769230769231,2.5224825121661563,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | moment-matched | fixed gamma,hybrid previous state,moment-matched,fixed gamma,current-frame truth,current posterior after Y_n
overall,2501,0.493121148989088,0.1574037342418138,0.05591528517801848,0.7159318740849122,0.9928028788484606,2.738880521797569,1.0,0.0,-0.07810140489901796,0.6887822247324638,0.2198585367399708,0.08985761374192386,0.006797281087564974,0.2146197006326433,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current forecast before Y_n
above_camera_ceiling,76,2.582630310152685,1.2385948484182674,-0.9362246424068775,0.715931874084912,0.8026315789473685,2.72561159518856,1.0,0.0,1.3077007412242103,3.6073688064995624,1.7300456834687115,0.6698376184596265,0.18421052631578946,1.0470475115604472,HorizontalScanPath_2,Horizontal,2,evaluation,hybrid previous state | mean-only | development-recalibrated gamma,hybrid previous state,mean-only,development-recalibrated gamma,current-frame truth,current forecast before Y_n
