region,n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,state_representation,stage,region_basis
previous_top_1pct,26,9.482243600806465,5.072711067346358,-5.072711067346358,0.5697692866998114,0.19230769230769232,2.121497592629324,1.0,0.0,12.635035306687097,26.46928783119115,12.635035306687097,3.9456563904762207,0.7692307692307693,4.805424356599414,HorizontalScanPath_4,Horizontal,4,evaluation,hybrid previous state,previous posterior,previous-frame truth
overall,2501,1.0272922438515326,0.31341385658461846,-0.09127702333522082,2.820579435535993,0.9848060775689724,10.800329404930798,1.0,0.0,0.12958560133333785,2.76245374141242,0.28116650925446585,0.07388726623356247,0.011195521791283487,0.7274296688323167,HorizontalScanPath_4,Horizontal,4,evaluation,coherent latent previous state,previous posterior,previous-frame truth
unsaturated,2411,0.3441569283517691,0.25740113006440957,-0.04556274203508104,2.9068327101121056,0.9979261717129821,11.133314927584593,1.0,0.0,0.008618005342981941,0.24763323175310908,0.12555508933167436,0.07141338668500559,0.0008295313148071339,0.6936528870432438,HorizontalScanPath_4,Horizontal,4,evaluation,coherent latent previous state,previous posterior,previous-frame truth
saturated,90,5.114044118292024,1.8139325636982144,-1.3159118257200766,0.5099500466136775,0.6333333333333333,1.8800172369497488,1.0,0.0,3.3701730894749833,14.50580725394167,4.449823547408357,1.2264296772835679,0.28888888888888886,1.632272123204043,HorizontalScanPath_4,Horizontal,4,evaluation,coherent latent previous state,previous posterior,previous-frame truth
previous_top_1pct,26,9.47069870489087,5.065776486388116,-5.065776486388116,0.5642709317362322,0.19230769230769232,2.1093923208557395,1.0,0.0,12.802276944253691,26.917365010098575,12.802276944253691,4.042690900734321,0.7307692307692307,4.801300430751744,HorizontalScanPath_4,Horizontal,4,evaluation,coherent latent previous state,previous posterior,previous-frame truth
overall,2501,0.9762269068378304,0.25891118854814105,-0.04695829408105694,0.016200524909052747,0.019592163134746102,0.059682022095995886,0.03318672530987605,0.9668132746901239,3.7884833878705546,12.785127192493219,4.740037039059035,1.3748277090991683,0.3493975903614458,0.2528309917513842,HorizontalScanPath_5,Horizontal,5,evaluation,hybrid previous state,previous posterior,previous-frame truth
unsaturated,2418,0.250096820181334,0.19978183358410673,0.003560997916087732,6.877248596076684e-13,0.0,0.0,0.0,1.0,,,,,,0.19978183358413484,HorizontalScanPath_5,Horizontal,5,evaluation,hybrid previous state,previous posterior,previous-frame truth
saturated,83,5.186008022976323,1.981498903042539,-1.5187130898532955,0.48816280476961454,0.5903614457831325,1.798370328458864,1.0,0.0,3.7884833878705546,12.785127192493219,4.740037039059035,1.3748277090991683,0.3493975903614458,1.7982871899249837,HorizontalScanPath_5,Horizontal,5,evaluation,hybrid previous state,previous posterior,previous-frame truth
previous_top_1pct,26,9.220469517603567,5.227993611661038,-5.227993611661038,0.4768799322674031,0.07692307692307693,1.7519514167206909,1.0,0.0,12.866655321141252,22.773601128794112,12.866655321141252,5.600259847843816,0.9615384615384616,4.979932106093646,HorizontalScanPath_5,Horizontal,5,evaluation,hybrid previous state,previous posterior,previous-frame truth
overall,2501,0.9985980119994381,0.3050280521195876,-0.09783944529243285,2.823996185147805,0.984406237504998,10.815489204296023,1.0,0.0,0.13194074396543976,2.343205561352934,0.27705603751549357,0.07169476932045236,0.01479408236705318,0.7286713820149527,HorizontalScanPath_5,Horizontal,5,evaluation,coherent latent previous state,previous posterior,previous-frame truth
