method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,peak_rel_error,true_peak_location,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,target_frac_saturated,observation_seed,actual_frac_saturated,threshold,noise_sd,lengthscale,signal_sd,scenario
exact clipped,0.22325642853970484,0.28980167543430885,1323.1498397771425,849.464902264794,473.6849375123485,0.3579979555392842,0.250429799426934,841.2314806825647,11.192394826987393,819.2943868216694,863.16857454346,False,0.25,7,0.23636363636363636,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
discard saturated,0.1950355254360123,0.2530886397615214,1323.1498397771425,937.6743419077039,385.4754978694385,0.29133170430218547,0.250429799426934,851.7337616517656,357.3852487208557,151.25867415888843,1552.2088491446427,True,0.25,7,0.23636363636363636,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored Laplace,0.17470274024414173,0.2265893165394681,1323.1498397771425,955.444217372102,367.70562240504046,0.2779017246202236,0.250429799426934,901.259441605697,133.79930002411515,639.0128135584314,1163.5060696529627,False,0.25,7,0.23636363636363636,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored sampled,0.06688814873711865,0.08527719963984585,1323.1498397771425,1167.3125235841146,155.83731619302785,0.11777752716145547,0.250429799426934,1166.6579587631836,217.1078632647377,871.2016625036724,1684.2671221013154,True,0.25,7,0.23636363636363636,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
oracle true,9.041990572895926e-05,0.00011739130075366428,1323.1498397771425,1322.9435021724382,0.20633760470423113,0.00015594424644980835,0.250429799426934,1322.9435021724382,11.192394826987393,1301.006408311543,1344.8805960333334,True,0.25,7,0.23636363636363636,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
exact clipped,0.2200795732104837,0.28452018016501895,1323.1498397771425,859.8524397732148,463.2974000039277,0.3501473424067834,0.250429799426934,859.8524397732148,7.779721517680197,844.6041855985616,875.100693947868,False,0.25,7,0.23636363636363636,840.05531621472,20.0,1.1991192939308655,500.0,unsat_mll_tuned
discard saturated,0.05943822293706792,0.0755865002822795,1323.1498397771425,1197.3718742990845,125.77796547805792,0.09505950248177686,0.250429799426934,1197.1624656433019,47.33147223534192,1104.3927800620318,1289.932151224572,False,0.25,7,0.23636363636363636,840.05531621472,20.0,1.1991192939308655,500.0,unsat_mll_tuned
censored Laplace,0.059196762420918606,0.07526765270833677,1323.1498397771425,1197.8601657345412,125.28967404260129,0.09469046533966537,0.250429799426934,1197.65450399146,46.83340279788646,1105.8610345076024,1289.4479734753174,False,0.25,7,0.23636363636363636,840.05531621472,20.0,1.1991192939308655,500.0,unsat_mll_tuned
censored sampled,0.05896790684890843,0.07504940684043603,1323.1498397771425,1198.1549918865912,124.99484789055123,0.09446764390010738,0.250429799426934,1197.9655411890246,45.64902107354708,1104.9712503938167,1285.4542890325627,False,0.25,7,0.23636363636363636,840.05531621472,20.0,1.1991192939308655,500.0,unsat_mll_tuned
oracle true,0.007979398394649796,0.006973110017364913,1323.1498397771425,1311.579467908658,11.570371868484472,0.008744566579423282,0.250429799426934,1311.579467908658,7.779721517680197,1296.331213734005,1326.827722083311,True,0.25,7,0.23636363636363636,840.05531621472,20.0,1.1991192939308655,500.0,unsat_mll_tuned
exact clipped,0.2256690220486344,0.2897698405345495,1323.1498397771425,851.9956390290064,471.1542007481361,0.3560852947898118,0.250429799426934,839.3600586198166,11.192394826987393,817.4229647589214,861.2971524807119,False,0.25,8,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
discard saturated,0.21571084252715886,0.2765689011718721,1323.1498397771425,922.0934989949341,401.0563407822084,0.3031072738139455,0.250429799426934,832.3694788548718,390.38203876730586,67.22068287095226,1597.5182748387913,True,0.25,8,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored Laplace,0.10622816625052951,0.13064663208393273,1323.1498397771425,1257.0989100331599,66.05092974398258,0.04991946320690898,0.250429799426934,1129.4765941334713,328.2256593677927,486.1543017725977,1772.798886494345,True,0.25,8,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
censored sampled,0.07960314052762439,0.09281357208782247,1323.1498397771425,1429.3320991821713,106.18225940502884,0.08024961059808092,0.250429799426934,1360.2117375249306,257.34536022881554,947.0157357919828,1950.348280090323,True,0.25,8,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
oracle true,9.041990572895926e-05,0.00011739130075366428,1323.1498397771425,1322.9435021724382,0.20633760470423113,0.00015594424644980835,0.250429799426934,1322.9435021724382,11.192394826987393,1301.006408311543,1344.8805960333334,True,0.25,8,0.2545454545454545,840.05531621472,20.0,0.55,500.0,fixed_ell_0.55
exact clipped,0.21998802317127028,0.28454663143495695,1323.1498397771425,860.9468054256234,462.203034351519,0.3493202511586803,0.250429799426934,860.8565487937443,7.768607136827229,845.6300788055629,876.0830187819257,False,0.25,8,0.2545454545454545,840.05531621472,20.0,1.2029526533674666,500.0,unsat_mll_tuned
discard saturated,0.09766669655539068,0.12370865793763149,1323.1498397771425,1125.1778081410707,197.97203163607173,0.14962177803642865,0.250429799426934,1124.7813747324167,55.25455556153328,1016.4824458318114,1233.080303633022,False,0.25,8,0.2545454545454545,840.05531621472,20.0,1.2029526533674666,500.0,unsat_mll_tuned
censored Laplace,0.06172761828403703,0.07578339372635334,1323.1498397771425,1196.9165173568708,126.23332242027163,0.09540364864612239,0.250429799426934,1196.847051798125,47.2948441213026,1104.1491573203718,1289.5449462758781,False,0.25,8,0.2545454545454545,840.05531621472,20.0,1.2029526533674666,500.0,unsat_mll_tuned
censored sampled,0.055534618697428796,0.06770279471217903,1323.1498397771425,1209.6503360158038,113.4995037613387,0.08577978120789054,0.250429799426934,1209.3989850578082,49.641248368198475,1115.3076109965084,1306.0237508466919,False,0.25,8,0.2545454545454545,840.05531621472,20.0,1.2029526533674666,500.0,unsat_mll_tuned
