method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,kernel,kernel_label,observation_seed,kernel_lengthscale,kernel_lengthscale_y,kernel_angle_degrees
exact clipped,0.10408928101156625,0.25261008262260365,1302.3172913701162,830.2610361873234,472.0562551827928,0.36206896551724155,-0.1206896551724137,799.7816043889997,15.146832796686091,770.093812107495,829.4693966705044,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,1,0.7,,0.0
discard saturated,0.05367603243278187,0.11764442119955355,1302.3172913701162,1079.8342651460816,222.48302622403457,0.36206896551724155,-0.1206896551724137,1079.8342651460816,85.22489421868144,912.793472477466,1246.8750578146974,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,1,0.7,,0.0
censored Laplace,0.05333999863256086,0.11669130147036648,1302.3172913701162,1081.0267735510774,221.29051781903877,0.36206896551724155,-0.1206896551724137,1081.0267735510774,84.00277329496687,916.3813378929424,1245.6722092092125,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,1,0.7,,0.0
censored sampled,0.05098477207591967,0.10948124081654154,1302.3172913701162,1090.3237108926494,211.99358047746682,0.36206896551724155,-0.1206896551724137,1090.3237108926494,83.96119389598586,926.0129436681505,1262.7025123887722,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,1,0.7,,0.0
oracle true,0.0015770389686947316,0.0030837502102339744,1302.3172913701162,1296.622702100061,5.694589270055303,0.36206896551724155,-0.1206896551724137,1296.622702100061,15.146832796686091,1266.9349098185562,1326.3104943815656,True,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,0.7,0.7,808.9584790988589,isotropic_fixed,isotropic fixed,1,0.7,,0.0
exact clipped,0.09652004453592122,0.23535001409453407,1302.3172913701162,883.5168127088604,418.80047866125585,0.36206896551724155,-0.1206896551724137,883.5168127088604,8.526589792812501,866.8046967149479,900.2289287027728,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3408758478308807,1.3408758478308807,808.9584790988589,isotropic_tuned,isotropic tuned,1,1.3408758478308807,,0.0
discard saturated,0.07353205315711471,0.1762350161343288,1302.3172913701162,977.5228641980215,324.79442717209474,0.36206896551724155,-0.1206896551724137,977.5228641980215,15.47557636307736,947.1907345263899,1007.8549938696531,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3408758478308807,1.3408758478308807,808.9584790988589,isotropic_tuned,isotropic tuned,1,1.3408758478308807,,0.0
censored Laplace,0.0730715837982695,0.17500722927138726,1302.3172913701162,979.1081145599135,323.20917681020273,0.36206896551724155,-0.1206896551724137,979.1081145599135,15.019474850606878,949.669943852724,1008.5462852671029,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3408758478308807,1.3408758478308807,808.9584790988589,isotropic_tuned,isotropic tuned,1,1.3408758478308807,,0.0
censored sampled,0.07308373955485493,0.1750710685552076,1302.3172913701162,978.9907886087898,323.3265027613264,0.36206896551724155,-0.1206896551724137,978.9907886087898,15.6070101045003,951.1394737216696,1008.9978416197941,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3408758478308807,1.3408758478308807,808.9584790988589,isotropic_tuned,isotropic tuned,1,1.3408758478308807,,0.0
oracle true,0.03476211066033433,0.05591179737981889,1302.3172913701162,1182.417900326937,119.89939104317932,0.36206896551724155,-0.1206896551724137,1182.417900326937,8.526589792812501,1165.7057843330244,1199.1300163208493,False,axis_gaussian,axis Gaussian,17,289,8,0.02768166089965398,1.3408758478308807,1.3408758478308807,808.9584790988589,isotropic_tuned,isotropic tuned,1,1.3408758478308807,,0.0
