kernel,shape,shape_label,method,n_seeds,field_rel_l2_mean,field_rel_l2_std,hot_region_rel_l2_mean,peak_abs_error_mean,peak_abs_error_std,posterior_sd_at_true_peak_mean,peak_interval_width_mean,true_peak_coverage,lengthscale_mean,lengthscale_y_mean,angle_degrees_mean,kernel_label
isotropic_tuned,laser_path,moving-laser path,oracle true,10,0.11326417243420454,0.017923109719676828,0.2318987231532179,521.9164485077222,99.48518851609226,9.36109363654113,36.69548705524121,0.0,1.2594041154768187,,0.0,isotropic tuned
anisotropic_tuned,laser_path,moving-laser path,exact clipped,10,0.12222727480999156,0.0044543566926004185,0.31599807351717485,703.4469362357687,18.368231347668303,9.820087072581412,38.494741324519055,0.0,1.75,0.775,0.0,anisotropic tuned
anisotropic_tuned,laser_path,moving-laser path,discard saturated,10,0.14964698053199724,0.008073270155891564,0.3971257772559933,800.4774719367203,29.94465548842315,18.128755892600502,71.06472309899395,0.0,1.75,0.775,0.0,anisotropic tuned
anisotropic_tuned,laser_path,moving-laser path,censored Laplace,10,0.12065181109098207,0.004881480147998409,0.31072973264632786,694.1418468844485,20.80129679555276,10.646381968172117,41.73381731523468,0.0,1.75,0.775,0.0,anisotropic tuned
anisotropic_tuned,laser_path,moving-laser path,censored sampled,10,0.13263014919952648,0.010498816406960583,0.34623370840945716,741.6146216817875,41.66831257987548,14.663221403693091,48.81031592463447,0.0,1.75,0.775,0.0,anisotropic tuned
anisotropic_tuned,laser_path,moving-laser path,oracle true,10,0.0909770620678675,0.008717512327100942,0.18140501250706265,450.11198832072114,39.59909190137027,9.820087072581412,38.494741324519055,0.0,1.75,0.775,0.0,anisotropic tuned
anisotropic_informed,laser_path,moving-laser path,exact clipped,10,0.1157938922739182,0.00040923862224021484,0.3055547749085362,689.0575369804629,4.02415834635694,254.18187847241762,996.3929636118771,0.0,1.1,0.2,0.0,anisotropic informed
anisotropic_informed,laser_path,moving-laser path,discard saturated,10,0.1361825654175396,0.006772910481055247,0.356103304864602,585.2345553465857,130.79330363651397,258.77605763260317,1014.4021459198044,0.0,1.1,0.2,0.0,anisotropic informed
anisotropic_informed,laser_path,moving-laser path,censored Laplace,10,0.10751506629747634,0.003117071146869714,0.2702269420868133,529.004671201162,70.51029154050278,254.81553452000247,998.8768953184097,0.0,1.1,0.2,0.0,anisotropic informed
anisotropic_informed,laser_path,moving-laser path,censored sampled,10,0.1937462469428599,0.026729682018542422,0.29605333238734766,471.62427768542403,76.70620359959075,244.46339881265754,940.2669076261261,0.0,1.1,0.2,0.0,anisotropic informed
anisotropic_informed,laser_path,moving-laser path,oracle true,10,0.06640971342060573,0.0,0.14848400272943185,334.62458062265796,0.0,254.18187847241762,996.392963611877,1.0,1.1,0.2,0.0,anisotropic informed
