shape,shape_label,observation_seed,lengthscale,lengthscale_y,angle_degrees,unsat_neg_log_marginal_likelihood,kernel
axis_gaussian,axis Gaussian,1,0.75,0.42,0.0,1677.6785629417013,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.42,15.0,1686.8585075920191,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.42,35.0,1705.128877026954,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.42,55.0,1707.1947623173714,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.65,-55.0,1583.4888419848335,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.65,-35.0,1583.876244676821,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.65,-15.0,1584.0623343423194,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.65,0.0,1584.011165288589,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.65,15.0,1583.9784577529513,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.65,35.0,1583.9788537783093,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.65,55.0,1583.8306864622014,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.9,-55.0,1514.5999543594626,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.9,-35.0,1514.1610723220065,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.9,-15.0,1513.7678086417054,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.9,0.0,1513.5509101286643,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.9,15.0,1513.5704677687418,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.9,35.0,1513.764687007838,anisotropic_tuned
axis_gaussian,axis Gaussian,1,0.75,0.9,55.0,1513.9175699848388,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.18,-55.0,1856.8139848074152,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.18,-35.0,1855.7326286521366,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.18,-15.0,1806.6980111756538,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.18,0.0,1641.4861965873843,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.18,15.0,1806.4381056641319,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.18,35.0,1855.834517750623,anisotropic_tuned
axis_gaussian,axis Gaussian,1,1.0,0.18,55.0,1856.855010048248,anisotropic_tuned
