trajectory,family,run_index,role,representation,pixel_index,x_m,y_m,threshold_K,truth_K,posterior_mean_K,posterior_sd_K,lower_95_K,upper_95_K,delta_true_K,delta_hat_K,signed_error_K,absolute_error_K,abs_error_over_sd,covered_95,latent_truth_above_ceiling,posterior_mean_above_ceiling,posterior_probability_above_ceiling,true_exceedance_bin
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1674,-0.0007500000000000007,0.0017499999999999998,294.6560504149699,296.04162855310733,296.257911776465,0.34607719410896787,295.6330523118728,296.9698469223043,1.3855781381374186,1.6018613614950823,0.2162832233576637,0.2162832233576637,0.624956590723986,True,True,True,1.0,1-2 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1675,-0.0005000000000000013,0.0017499999999999998,294.6560504149699,295.97545857277476,296.20144538276,0.5270708536967242,295.39960531592834,297.43501357354313,1.319408157804844,1.5453949677901164,0.22598680998527243,0.22598680998527243,0.4287598306760193,True,True,True,1.0,1-2 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1676,-0.0002500000000000011,0.0017499999999999998,294.6560504149699,296.0456992339003,295.4940510089709,0.42595464986378934,294.80933081012876,296.33307431180003,1.3896488189303682,0.8380005940010165,-0.5516482249293517,0.5516482249293517,1.2950867542020175,True,True,True,0.9944444444444445,1-2 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1677,-8.673617379884035e-19,0.0017499999999999998,294.6560504149699,296.19391347939285,295.12316136685536,0.33118419677516864,294.4518034964868,295.7727007142447,1.537863064422936,0.46711095188544505,-1.070752112537491,1.070752112537491,3.2331014672913083,False,True,True,0.9111111111111111,1-2 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1678,0.0002499999999999985,0.0017499999999999998,294.6560504149699,296.38553150594976,295.68571748942827,0.4682964302715426,294.9310939692557,296.79253012382935,1.7294810909798457,1.0296670744583594,-0.6998140165214863,0.6998140165214863,1.4943825561849742,True,True,True,1.0,1-2 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1679,0.0004999999999999987,0.0017499999999999998,294.6560504149699,296.6048218924937,296.02018047503594,0.6454474044724468,295.1005737236844,297.50445318548003,1.9487714775237919,1.3641300600660315,-0.5846414174577603,0.5846414174577603,0.905792498980787,True,True,True,0.9944444444444445,1-2 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1680,0.0007499999999999989,0.0017499999999999998,294.6560504149699,296.84241643616593,295.45506226545507,0.3664299355030548,294.8171332091947,296.19483685274633,2.1863660211960223,0.799011850485158,-1.3873541707108643,1.3873541707108643,3.786137638580837,False,True,True,0.9944444444444445,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1681,0.0009999999999999992,0.0017499999999999998,294.6560504149699,297.08877680222577,295.1450748158885,0.3682887777035051,294.5075337008192,295.87438260597224,2.4327263872558547,0.4890244009185949,-1.9437019863372598,1.9437019863372598,5.277657381952752,False,True,True,0.8944444444444445,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1682,0.0012499999999999994,0.0017499999999999998,294.6560504149699,297.33112680945624,295.5380361724505,0.48850904797314804,294.7046469943066,296.53915316677353,2.675076394486325,0.8819857574806065,-1.7930906370057187,1.7930906370057187,3.6705372079500966,False,True,True,0.9888888888888889,2-5 K
DiagonalScanPath_1,Diagonal,1,evaluation,hybrid saturated-only sampling,1683,0.0014999999999999979,0.0017499999999999998,294.6560504149699,297.5960581010828,295.77938792561235,0.4745388597041355,295.0035416294774,296.61031121778814,2.9400076861128923,1.1233375106424432,-1.816670175470449,1.816670175470449,3.828285372884115,False,True,True,0.9944444444444445,2-5 K
