method,percentile_bin,percentile_lower,percentile_upper,rmse_K_mean,rmse_K_std,mae_K_mean,mae_K_std,signed_error_K_mean,signed_error_K_std,posterior_sd_K_mean,posterior_sd_K_std,coverage_95_mean,coverage_95_std,interval_width_95_K_mean,interval_width_95_K_std,positive_sd_fraction_mean,positive_sd_fraction_std,zero_sd_nonzero_error_fraction_mean,zero_sd_nonzero_error_fraction_std,mean_z_mean,mean_z_std,rms_z_mean,rms_z_std,mean_abs_error_over_sd_mean,mean_abs_error_over_sd_std,median_abs_error_over_sd_mean,median_abs_error_over_sd_std,fraction_abs_z_gt_1_96_mean,fraction_abs_z_gt_1_96_std,crps_K_mean,crps_K_std,n_trajectories
Posterior physics mean + sequential ST,95-99%,95.0,99.0,0.6022526762285999,0.1452334809895725,0.4419764535269792,0.09504037773357212,0.18050925937398266,0.1509114728277266,0.7803621084646638,0.05207513098167308,0.9876666666666666,0.015465943304527226,2.988235905555806,0.20175015744894825,1.0,0.0,0.0,0.0,-0.18085152957113065,0.15509969801964132,0.698013499321694,0.1109761394984455,0.5349999743905882,0.08093743387508376,0.4105790466333194,0.07050684297919657,0.01,0.013645764784420259,0.33016034395474264,0.05979122457775996,30
Posterior physics mean + sequential ST,99-100%,99.0,100.0,4.38423394860142,0.392974108456865,3.254679280067739,0.4240376862880766,-2.7100300354790248,0.45379797779495257,0.9208426323163048,0.12139527234434257,0.392,0.1552395257169629,3.5182846768652407,0.4611099146563988,1.0,0.0,0.0,0.0,3.101995956366423,0.7610747573749892,4.967737902952393,0.7919446995185714,3.7027162154048185,0.7529408037182844,2.455042240762816,0.6769446548388371,0.6013333333333333,0.16391194720575317,2.8263959657924755,0.41539248524838096,30
Posterior physics mean + sequential advective ST,0-10%,0.0,10.0,0.18303314853532401,0.013741822210287157,0.1264405418667439,0.01033065649985163,0.06639043530543516,0.021088739914365107,0.6600315641143628,0.005480610400963828,1.0,0.0,2.523523628440758,0.02464862569599018,1.0,0.0,0.0,0.0,-0.09887765903416433,0.03450575628264059,0.28880650876403086,0.02329655804220997,0.198094738484078,0.016938405670140835,0.1189929983907052,0.01829083595582674,0.0,0.0,0.17438234728045368,0.0034364885325515377,30
Posterior physics mean + sequential advective ST,10-20%,10.0,20.0,0.18143453043382152,0.01544092656607902,0.1242562980602066,0.01166664082134409,0.07171738568637247,0.019940535651317388,0.656256688504947,0.003948533030546302,0.9998666666666666,0.0007302967433402196,2.5091364439263213,0.015141053081852361,1.0,0.0,0.0,0.0,-0.10784864819367562,0.03189569907858707,0.2879227597990554,0.02458716999165532,0.1959451245994984,0.018515745900375087,0.11425612726898529,0.016730142178734954,0.0,0.0,0.17338808176099726,0.003636351406310248,30
Posterior physics mean + sequential advective ST,20-30%,20.0,30.0,0.18432794231525615,0.011771343007968062,0.127577517046322,0.010022878407401658,0.07608104745794107,0.01905730476474965,0.6517389322220875,0.005254086441444154,1.0,0.0,2.4904752036451048,0.023576868247763963,1.0,0.0,0.0,0.0,-0.1157392292491168,0.032262550701292476,0.2933988156453578,0.020673118779035306,0.20258651019495003,0.016714941687658372,0.12260358804815129,0.018922850230295458,0.0,0.0,0.17288274146474522,0.002920017717773831,30
Posterior physics mean + sequential advective ST,30-40%,30.0,40.0,0.1803462442723643,0.01485151958978441,0.12440518158011753,0.010745100812648513,0.06422340133497524,0.018489398935304064,0.6533142791736702,0.004275639192683124,0.9998666666666666,0.0007302967433402236,2.4971327072446763,0.017029249655310167,1.0,0.0,0.0,0.0,-0.09582038180681329,0.030142331501607552,0.28901437907000666,0.025574190220445502,0.19762821019487348,0.01765609654985724,0.11914461042910429,0.016952386639706597,0.0,0.0,0.1725638496487516,0.003464216785652301,30
Posterior physics mean + sequential advective ST,40-50%,40.0,50.0,0.1838067747297772,0.01839062170319468,0.1262946673357395,0.014323160754152952,0.0750616241086252,0.02300116656917376,0.6571550786031566,0.005505747196203519,1.0,0.0,2.5147091867021514,0.0233714737176324,1.0,0.0,0.0,0.0,-0.11347951467248223,0.03727964451624997,0.2911549426667984,0.030215660068073708,0.19866542086217978,0.022698533460317794,0.11761737027909965,0.023913834650968798,0.0,0.0,0.1741840392909427,0.004679164789382326,30
Posterior physics mean + sequential advective ST,50-60%,50.0,60.0,0.1812858434644893,0.012941263278824191,0.12364007274241245,0.011424276342289727,0.07528726920287684,0.018194193092083307,0.6570270297998662,0.00415286162669311,1.0,0.0,2.513105030908652,0.020804999594358168,1.0,0.0,0.0,0.0,-0.11386037937811105,0.030202403302902626,0.2871023438701984,0.023439572484008294,0.1943805323490207,0.01909046867202582,0.11403497612109705,0.018091738434095877,0.0,0.0,0.17346446711008923,0.003386818922618394,30
Posterior physics mean + sequential advective ST,60-70%,60.0,70.0,0.18691400492077634,0.013806588248400272,0.1287626735392932,0.010920189931071684,0.07476763208818635,0.01909822595459957,0.6610985420838688,0.0031583578341494154,1.0,0.0,2.5267744950042594,0.017418483097603042,1.0,0.0,0.0,0.0,-0.1126155777073207,0.031563323680217595,0.2927612521898467,0.022899343956128162,0.20081865141959396,0.01744698218754807,0.12172158283567809,0.015353242303025545,0.0,0.0,0.17540983596969217,0.003089628414998905,30
Posterior physics mean + sequential advective ST,70-80%,70.0,80.0,0.1959710676344065,0.018093178126847378,0.1452711053776791,0.01848071399781367,0.052136073055304016,0.023158207768896072,0.6620654751542999,0.004473106997973813,1.0,0.0,2.534083036622852,0.022379742841223252,1.0,0.0,0.0,0.0,-0.07817770818207134,0.03630516564313585,0.30551182325364856,0.02892092358408201,0.22448771782903904,0.027756184191147736,0.16085088771759615,0.04101005022139626,0.0,0.0,0.17774494904787302,0.0047871626313794975,30
