n_pixels,rmse_K,mae_K,signed_error_K,posterior_sd_K,coverage_95,interval_width_95_K,positive_sd_fraction,zero_sd_nonzero_error_fraction,mean_z,rms_z,mean_abs_error_over_sd,median_abs_error_over_sd,fraction_abs_z_gt_1_96,crps_K,trajectory,family,run_index,role,stage,region
25,9.470109973813138,5.318389752401283,-5.259133845415738,0.5848058408407952,0.28,2.0701292096618022,1.0,0.0,10.483141280376435,20.207123545771616,10.55282654064411,6.752646500885716,0.72,5.0750313514652445,SpiralScanPath_4,Spiral,4,evaluation,Previous censored representation,top_1pct
25,4.075756487913377,3.081099785369945,-2.2259108437127613,0.8173464510714348,0.36,3.1657222653711212,1.0,0.0,2.7344085230057096,4.977785892497463,3.816622407518618,3.18430527032919,0.64,2.723026222240676,SpiralScanPath_4,Spiral,4,evaluation,Current sequential advective ST,top_1pct
25,9.47966650790344,4.856084216172226,-4.856084216172226,1.033248987818451,0.48,3.3135485520803605,1.0,0.0,5.728070138915293,13.167107693192946,5.728070138915293,2.0945955015627753,0.56,4.4312979161418395,SpiralScanPath_5,Spiral,5,evaluation,Previous censored representation,top_1pct
25,3.7607829538581194,2.643775575972611,-1.783521883962096,1.115762312549974,0.56,4.358070648574778,1.0,0.0,1.5112768134285883,3.5734728680238526,2.4721875079706606,1.6346196195656497,0.44,2.2588796162773304,SpiralScanPath_5,Spiral,5,evaluation,Current sequential advective ST,top_1pct
25,9.51429579792682,5.459613884166202,-5.457358018281257,0.6038248172853254,0.2,2.1146551176432262,1.0,0.0,10.595816184895314,18.65541258955027,10.597821002768487,6.367581160954284,0.8,5.174932323457458,SpiralScanPath_6,Spiral,6,evaluation,Previous censored representation,top_1pct
25,4.315426545467284,3.440929490178312,-2.5063026018112464,0.8109746756377002,0.28,3.0898142150919035,1.0,0.0,3.1702447740916644,5.338904502260817,4.2973188015562025,3.3542870731397505,0.72,3.0290599438781673,SpiralScanPath_6,Spiral,6,evaluation,Current sequential advective ST,top_1pct
25,9.319183636384343,5.705176372155597,-5.705176372155597,0.4512972506507481,0.08,1.658586035621995,1.0,0.0,13.983708960402145,22.260752522755322,13.983708960402145,6.878709343026827,0.92,5.457653684889578,SpiralScanPath_7,Spiral,7,evaluation,Previous censored representation,top_1pct
25,4.142669021008901,3.2050684362278705,-2.680120142526289,0.7852806709955472,0.32,2.93579309721694,1.0,0.0,3.435103049709937,5.392230639196607,4.138859664758914,2.288713810148165,0.6,2.7979298604336718,SpiralScanPath_7,Spiral,7,evaluation,Current sequential advective ST,top_1pct
25,9.86029389474607,5.85567638846334,-5.85567638846334,0.40309718335637773,0.08,1.4976328163218455,1.0,0.0,17.51248653124286,32.34210977222113,17.51248653124286,9.222649769277727,0.84,5.633286354957141,SpiralScanPath_8,Spiral,8,evaluation,Previous censored representation,top_1pct
25,4.296234156470483,3.387660975150427,-2.8041512179259893,0.7675651806792433,0.32,2.964052573198121,1.0,0.0,3.6781163982046428,5.666279499343032,4.4781806162162425,3.8203237306212148,0.68,3.0078848491308863,SpiralScanPath_8,Spiral,8,evaluation,Current sequential advective ST,top_1pct
25,9.900278116045833,5.60121181155557,-5.60121181155557,0.6057782363059718,0.12,2.1692849381219026,1.0,0.0,10.485525441313916,18.350745069109667,10.485525441313916,4.510421995352333,0.84,5.334190679000325,SpiralScanPath_9,Spiral,9,evaluation,Previous censored representation,top_1pct
25,4.367162968407356,3.419644512069442,-2.662084779321042,0.8309167174943668,0.32,3.2209907550545087,1.0,0.0,3.1966492359170413,5.214454900021211,4.1280708119880565,2.8008127573491004,0.64,3.0081881748459414,SpiralScanPath_9,Spiral,9,evaluation,Current sequential advective ST,top_1pct
25,9.561055067824446,5.223587102985136,-4.909141308614378,0.9500768821926399,0.32,3.214304817097311,1.0,0.0,6.5886545187243,13.233759279457649,6.817052694890284,3.774255305153258,0.68,4.794070248872504,SpiralScanPath_10,Spiral,10,evaluation,Previous censored representation,top_1pct
25,3.9906683239860703,3.13712184758328,-1.913359054389798,0.9472418811358091,0.32,3.6612133046475286,1.0,0.0,2.01658264736215,4.313481300192925,3.405843351393795,2.3335711962157046,0.68,2.6862040981246924,SpiralScanPath_10,Spiral,10,evaluation,Current sequential advective ST,top_1pct
25,9.867018249811705,5.643683621899688,-5.643683621899688,0.5117717974163727,0.16,1.8421859383186687,1.0,0.0,10.613093178151345,15.970837242788056,10.613093178151345,6.815457455249168,0.88,5.357311042744851,SpiralScanPath_11,Spiral,11,evaluation,Previous censored representation,top_1pct
25,4.497409748543621,3.5586569888154234,-2.6823675549820245,0.791149632386977,0.24,2.9891284094768524,1.0,0.0,3.4335244989632328,5.516173581920359,4.446444477299147,3.0006729172932998,0.76,3.1553406159639454,SpiralScanPath_11,Spiral,11,evaluation,Current sequential advective ST,top_1pct
25,9.503201480335404,5.4379639606376005,-5.4379639606376005,0.5026364507796074,0.2,1.849413708532338,1.0,0.0,10.116874140682008,14.628075249036016,10.116874140682008,6.798928173758074,0.88,5.1652284623794165,SpiralScanPath_12,Spiral,12,evaluation,Previous censored representation,top_1pct
25,4.2799603050225645,3.3587289297485516,-2.5146448040376366,0.8279913928319131,0.32,3.1738777320021994,1.0,0.0,3.018072331729696,4.986712700248117,3.989717093109161,3.085640415434546,0.68,2.9247163437864736,SpiralScanPath_12,Spiral,12,evaluation,Current sequential advective ST,top_1pct
25,8.923600074391485,4.812365004600422,-4.680584727356092,0.9291498955920927,0.4,3.3155537181687054,1.0,0.0,6.68102657947815,12.577318750275186,6.7967234407840875,2.08587569796224,0.52,4.542482900746216,SpiralScanPath_13,Spiral,13,development,Previous censored representation,top_1pct
25,4.020227869765201,2.8522090034653615,-2.155065663787452,0.9759597143586407,0.48,3.7391046636861915,1.0,0.0,2.3304561100367285,4.344854737028452,3.016442400423527,1.8691251532897646,0.48,2.435244392389072,SpiralScanPath_13,Spiral,13,development,Current sequential advective ST,top_1pct
