trajectory,role,method,region,n_pixels,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K
SpiralScanPath_6,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5339449578040488,0.22306123211793666,0.03519951685902864,0.554448975428933,0.9972011195521792,8.477782355129397,2.2169917236799677
SpiralScanPath_6,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.678829659607823,1.6197211379483194,-0.8374196956636859,1.3134613229990737,0.9078947368421053,8.97366837547638,2.3669704694634546
SpiralScanPath_6,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.414995254025657,3.360944106048337,-2.657057181853776,2.5493004686235015,0.7307692307692307,9.436450413631455,2.484326008601898
SpiralScanPath_7,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5436322547117124,0.2296181945394508,0.02966447325609845,0.5605426818255186,0.9968012794882047,8.544939419564157,2.237276673386749
SpiralScanPath_7,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.5960685341142584,1.5994625410496213,-0.9434010280269405,1.262829787488091,0.9078947368421053,8.967540434228589,2.3517556739506063
SpiralScanPath_7,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.2865975524243645,3.3934865148553093,-2.9089901185503644,2.4533665035974064,0.7307692307692307,9.286376740423009,2.4368847775152878
SpiralScanPath_8,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5577222919829536,0.24341693546159518,0.04732197437165023,0.5618970593457515,0.9972011195521792,8.518304927430071,2.230730997538245
SpiralScanPath_8,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.6592543976490286,1.744755673118809,-0.6598594592544809,1.3221067491130598,0.9210526315789473,9.122999948160235,2.426380077200962
SpiralScanPath_8,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.247250818222153,3.2742248429683363,-2.7420675644398935,2.3945139909200046,0.7692307692307693,9.222579925959032,2.492671204546998
SpiralScanPath_9,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5268433666868843,0.21112934881009707,0.03304695116339889,0.5537957583008773,0.9972011195521792,8.480608942371317,2.2205020642469417
SpiralScanPath_9,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.676293563653811,1.689534362309928,-0.6520653677424766,1.3285260447290506,0.9078947368421053,9.18099218141542,2.4038996976766587
SpiralScanPath_9,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.297801979991533,3.2786106870643676,-2.6057675892220513,2.4394063922181415,0.7307692307692307,9.305999053469755,2.4747214162869535
SpiralScanPath_10,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5337623610488414,0.2041301975402217,0.01323517241509007,0.5540217764726197,0.9968012794882047,8.491691571380557,2.218983751607549
