trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,setting,fraction_saturated,signal_multiplier,noise_multiplier,beta_multiplier,length_multiplier
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,6.861026779023393,0.17022272061337845,2,382,154,296.4901280292387,0.3104433181217473,0.3540707757032605,335.7083806056465,334.2683084217185,1.4400721839280095,0.2704954060573954,False,0.9824070371851259,0.4473684210526316,1.444059353233883,1.516313301292714,22.748353595001973,1.5752192342699292,50.2162087204461,1.0,False,0.4473684210526316,1.5752192342699292,50.2162087204461,signal x2,0.03,2.0,1.0,1.0,1.0
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.31419286548715036,0.36038790706027996,335.7083806056465,334.519780180071,1.188600425575487,0.12559670929371877,False,0.9628148740503798,0.2631578947368421,0.752863770754419,1.648111362124826,11.359253184269642,0.7304985264853351,60.25359629886585,1.0,False,0.2631578947368421,0.7304985264853351,60.25359629886585,noise x0.5,0.03,1.0,0.5,1.0,1.0
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.307061115252271,0.34288025571177927,335.7083806056465,334.83519639754957,0.8731842080969159,0.5821735900007559,True,0.9884046381447421,0.618421052631579,0.7499162583303298,1.374070715280417,11.487882931370297,2.2947622283526363,38.011761703068316,1.0,True,0.618421052631579,2.2947622283526363,38.011761703068316,noise x2,0.03,1.0,2.0,1.0,1.0
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.29353201650601535,0.32288526063542994,335.7083806056465,334.99535705121656,0.7130235544299239,0.7862175167805517,True,0.9904038384646141,0.6973684210526315,0.7530181579131757,1.3265573453315946,11.601101862915126,3.0679898262134353,31.496911370980378,1.0,True,0.6973684210526315,3.0679898262134353,31.496911370980378,noise x3,0.03,1.0,3.0,1.0,1.0
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.30841840280049904,0.3426399100761604,335.7083806056465,334.0243399477852,1.6840406578612601,0.8486563310935047,False,0.9924030387844862,0.75,0.757194566941328,1.3259877807993508,11.693312387434268,3.496015633756077,33.140208567386885,1.0,False,0.75,3.496015633756077,33.140208567386885,noise x4,0.03,1.0,4.0,1.0,1.0
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,6.211450785264989,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.3083333007838778,0.3518132000026711,335.7083806056465,334.54618754936064,1.1621930562858438,0.2726460322648442,False,0.9828068772491003,0.4868421052631579,0.749327929947063,1.493873879677391,11.385517118155123,1.2028732220258247,50.495100728467214,1.0,False,0.4868421052631579,1.2028732220258247,50.495100728467214,beta x0.5,0.03,1.0,1.0,0.5,1.0
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,24.845803141059957,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.31340419860465657,0.3580291241631371,335.7083806056465,334.56237624618336,1.1460043594631202,0.2540831280744001,False,0.9804078368652539,0.4342105263157895,0.7521820310047325,1.541938361483514,11.416849547608766,1.2059384190278113,52.14205683965317,1.0,False,0.4342105263157895,1.2059384190278113,52.14205683965317,beta x2,0.03,1.0,1.0,2.0,1.0
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.30846336667392626,0.35503080892552386,335.7083806056465,334.55619555028346,1.1521850553630202,0.25554490824169324,False,0.9796081567373051,0.39473684210526316,0.7810003824831261,1.5273310975152163,11.91206474464998,1.3288928395682524,51.63464130070613,1.0,False,0.39473684210526316,1.3288928395682524,51.63464130070613,length x0.75,0.03,1.0,1.0,1.0,0.75
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.31225163242926046,0.3528689733615422,335.7083806056465,334.4423479416056,1.2660326640408925,0.24033876953934372,False,0.9816073570571772,0.4342105263157895,0.7101941656886911,1.5009257959470492,10.757600754038688,1.0996658446050418,51.14400689524498,1.0,False,0.4342105263157895,1.0996658446050418,51.14400689524498,length x1.25,0.03,1.0,1.0,1.0,1.25
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.308422157192873,0.3370727777880759,335.7083806056465,334.9047880780822,0.8035925275642626,0.36492783204773377,False,0.984406237504998,0.5657894736842105,0.6652772118625652,1.3851551536078515,10.016005754945203,1.4973576833940472,43.41506536953286,1.0,False,0.5657894736842105,1.4973576833940472,43.41506536953286,length x1.5,0.03,1.0,1.0,1.0,1.5
