family,fraction_saturated,method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,hot_region_rel_l2_mean,hot_region_rel_l2_std,hot_region_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,true_peak_in_95_mean,true_peak_in_95_std,true_peak_in_95_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count,hot_region_interval_score_K_mean,hot_region_interval_score_K_std,hot_region_interval_score_K_count,calibrated_hot_region_95_coverage_mean,calibrated_hot_region_95_coverage_std,calibrated_hot_region_95_coverage_count,calibrated_true_peak_in_95_mean,calibrated_true_peak_in_95_std,calibrated_true_peak_in_95_count,calibrated_hot_region_95_interval_width_K_mean,calibrated_hot_region_95_interval_width_K_std,calibrated_hot_region_95_interval_width_K_count,calibrated_hot_region_interval_score_K_mean,calibrated_hot_region_interval_score_K_std,calibrated_hot_region_interval_score_K_count
Horizontal,0.1,physics mean + RBF,0.6383980267992894,0.0646578682431498,11,0.6210838070787786,0.036514881942343584,11,13.037746672569261,1.7530368452358405,11,0.9175377673281588,0.20233404475213976,11,0.6602680188337559,0.09697068600619309,11,0.0,0.0,11,1.8005096070168436,0.07611584188437949,11,25.22337907376781,6.4690314970642016,11,0.8547627671133647,0.045052121064017625,11,0.0,0.0,11,4.580341794938782,0.19363216418356768,11,16.780552870975967,3.3280138897563747,11
Horizontal,0.1,physics mean + space-time,0.6505240804044191,0.06799799398915168,11,0.6319076876608946,0.03466523893338026,11,13.112095860653566,1.6683210129326216,11,0.9463760707370086,0.21756150292206602,11,0.6457805143064107,0.09113765996433812,11,0.0,0.0,11,1.765917744133535,0.07740887128064451,11,26.445004875467756,7.177993083961804,11,0.9655921767475552,0.014060158597451435,11,0.0,0.0,11,10.503710130094028,0.4604293422673528,11,15.471154947951085,0.7790331427777971,11
Spiral,0.01,snapshot RBF,0.6831206734670427,0.0357346022064641,12,0.6708565218013113,0.028418911651295786,12,28.983306127745255,2.9056206262007502,12,3.334030744044218,0.21073812570893066,12,0.7275641025641025,0.07597020545994307,12,0.0,0.0,12,5.857153054543936,0.8734664350486138,12,89.1479916051306,9.481734133976607,12,0.9262820512820514,0.025713766285443154,12,0.0,0.0,12,24.899896745534154,3.7132756888651577,12,61.03206283147355,9.562020439703188,12
Spiral,0.01,space-time heat,0.6638836892996575,0.05792659029436769,12,0.6945456420727097,0.045262258284343874,12,30.42977783457035,3.3501810393654674,12,3.538659811775323,0.26893853707797233,12,0.6089743589743589,0.10350674050046182,12,0.0,0.0,12,4.066002316197319,0.6003983697615587,12,106.60662332733995,13.135165906331366,12,0.9583333333333334,0.025713766285443078,12,0.25,0.45226701686664544,12,44.47055473751794,6.566658474451839,12,62.35962492129348,11.827916632683182,12
Spiral,0.01,physics mean + RBF,0.33495670073786127,0.04870794271939762,12,0.29255123107216074,0.023584357606483638,12,4.920096209862649,2.4796863438409322,12,2.0044465580602906,0.13478386947287638,12,0.7596153846153846,0.06786730399923663,12,0.5,0.5222329678670935,12,8.135150255876084,0.5938055843835836,12,20.093863276759507,2.829219439817439,12,1.0,0.0,12,1.0,0.0,12,20.69512352496299,1.5105904048612677,12,20.69512352496299,1.5105904048612677,12
Spiral,0.01,physics mean + space-time,0.36343748891353306,0.05532501325678508,12,0.2918992356467127,0.027341048408853957,12,5.286561051070076,2.514685959397693,12,2.003531554441518,0.20882996793129685,12,0.689102564102564,0.1003736072700364,12,0.16666666666666666,0.3892494720807615,12,6.753933380215108,1.2386637076227125,12,27.862058154186702,11.0518918411985,12,0.9935897435897436,0.02220577958421633,12,0.9166666666666666,0.28867513459481287,12,40.17251579209523,7.3675937493454855,12,40.319612710588785,6.9807358994556985,12
Spiral,0.03,snapshot RBF,0.7250783933003122,0.062189984197730634,12,0.7470202167080563,0.047131924291672775,12,33.06155727259591,2.82390164834043,12,1.9561893830117034,0.06973518168821,12,0.7094298245614036,0.05365580369236164,12,0.0,0.0,12,2.8975022484315187,0.5358775899434429,12,59.56567809183817,5.312482942850954,12,0.9057017543859649,0.030126764274104607,12,0.0,0.0,12,12.317845570029348,2.2781198533792426,12,44.78222645962911,4.376856020227354,12
Spiral,0.03,space-time heat,0.7289351520883002,0.06759274690579901,12,0.7721000858245359,0.0407092560530247,12,34.158134561442886,2.8171011604267626,12,2.100011079692052,0.059220474833446515,12,0.6151315789473685,0.03464256090328847,12,0.0,0.0,12,2.148010926523374,0.26828371247115346,12,69.26886676957751,4.785667636360981,12,0.950657894736842,0.01497605744682881,12,0.0,0.0,12,23.493158649767157,2.934264319797788,12,46.27109708455216,2.8632340734800135,12
Spiral,0.03,physics mean + RBF,0.4088026061863832,0.06477538887033427,12,0.3702682397401315,0.04723229389625494,12,4.999112811864838,2.6999091435740032,12,1.414492710241252,0.1922624687883352,12,0.7138157894736842,0.07509018333538497,12,0.25,0.4522670168666455,12,4.374875604013964,1.3157619201975228,12,25.062966622284367,7.899128257494102,12,0.9309210526315789,0.05145974165629051,12,0.5,0.5222329678670935,12,11.129307779658932,3.3471853145259227,12,19.029943038800997,5.1156298194313665,12
Spiral,0.03,physics mean + space-time,0.3678470907123716,0.039067721374281786,12,0.37296804052221805,0.020140777148833073,12,5.072162109305978,2.0989479464573204,12,1.3892389336418374,0.05347938019204761,12,0.6425438596491228,0.05106315352200502,12,0.0,0.0,12,2.371340684014358,0.4887996987963819,12,39.15364085116931,4.359808024047768,12,0.9265350877192983,0.027174004284534026,12,0.5,0.5222329678670935,12,14.104776537486467,2.907389296523333,12,21.369331975004332,1.8469630583097638,12
Spiral,0.05,snapshot RBF,0.754403279756852,0.0841669833633518,12,0.7788780275513029,0.060306401412135134,12,34.7611147188403,2.8130152790305134,12,1.5365842627884512,0.10368229932312861,12,0.6752645502645502,0.06839462781778294,12,0.0,0.0,12,2.0963735092915807,0.20148091366466525,12,48.298999920866436,4.328199076157635,12,0.8994708994708995,0.015259925040130188,12,0.0,0.0,12,8.912091494849614,0.8565345483936116,12,36.252018749674924,2.137843418507855,12
Spiral,0.05,space-time heat,0.7552561031934634,0.08869365507388649,12,0.7837989264455502,0.06298609235927985,12,35.00218151365573,2.842767631393287,12,1.55337705969104,0.10278665276812401,12,0.6600529100529101,0.06707370187345015,12,0.0,0.0,12,1.9760695100418577,0.1087041365300737,12,50.210955871208974,3.460246235374845,12,0.9642857142857144,0.007936507936507908,12,0.0,0.0,12,21.61260630900047,1.1889155189356442,12,37.291828684153224,1.2900923168510439,12
Spiral,0.05,physics mean + RBF,0.399137610378191,0.052434752962259336,12,0.3911763498567769,0.036870511319854596,12,5.2229055180631105,2.7983932055751586,12,1.0664483151116015,0.09445211214847293,12,0.6957671957671958,0.07822656203799255,12,0.08333333333333333,0.28867513459481287,12,2.1947836035009067,0.2746696669519511,12,29.183529938801204,4.234776433351912,12,0.8683862433862434,0.03357950965772596,12,0.16666666666666666,0.3892494720807615,12,5.583340977900989,0.698736041417949,12,21.74216364180857,2.2390224165392887,12
Spiral,0.05,physics mean + space-time,0.40269482620614716,0.05508939534056786,12,0.4041650983074392,0.03416270955428165,12,5.3245346308373955,2.7994583436258855,12,1.1172270450835844,0.09156642254772766,12,0.6626984126984127,0.06398617260554405,12,0.0,0.0,12,1.9667920719555498,0.0948135756518454,12,32.690824930251175,2.9023916811690116,12,0.9312169312169312,0.009164289987136866,12,0.3333333333333333,0.4923659639173309,12,11.698514202384033,0.5639528332240467,12,19.447575628191068,0.6712361481076135,12
Spiral,0.1,snapshot RBF,0.8010421502746267,0.11031913552269632,12,0.7958171551503322,0.0931705022441615,12,35.68528367580522,2.846799896362153,12,1.0873879830023248,0.1029916483485008,12,0.6882470119521913,0.08424327389989102,12,0.0,0.0,12,1.7604364349877961,0.09626223317214866,12,32.32571440480846,2.8160309246168165,12,0.9309428950863213,0.007660360777117185,12,0.0,0.0,12,7.4839576582800325,0.4092294744836007,12,23.73153662172359,0.867653243061515,12
Spiral,0.1,space-time heat,0.8059595816998194,0.1070899348206261,12,0.8005349851788602,0.08883013992795671,12,35.84192334552647,2.8509396362772153,12,1.1033066924960353,0.08066821743567544,12,0.6872509960159362,0.06074286890779499,12,0.0,0.0,12,1.7290591766605539,0.08706782661983524,12,33.077829709601595,2.2173635028245666,12,0.9790836653386453,0.0034503004134838772,12,0.0,0.0,12,18.911012532822017,0.9522755395760103,12,27.540379643443227,1.2187631392588543,12
Spiral,0.1,physics mean + RBF,0.4597886212103239,0.08442671513814372,12,0.4443819510753311,0.061165231415220116,12,5.7808082123418485,3.639777717528547,12,0.8516631668631872,0.09819723306398764,12,0.6998671978751659,0.0830392283383496,12,0.08333333333333333,0.28867513459481287,12,1.7666757241831001,0.09837681107070129,12,22.94234653312184,2.6949862964953235,12,0.8748339973439575,0.019254226450407225,12,0.08333333333333333,0.28867513459481287,12,4.494271302993327,0.2502621578045899,12,16.54884469765729,1.156090201696079,12
Spiral,0.1,physics mean + space-time,0.4644558242254337,0.08729914491382498,12,0.44819372503229754,0.06081475091291167,12,5.785718515662087,3.6014247365728167,12,0.8634314105074652,0.09224951998130673,12,0.695883134130146,0.07660360777117144,12,0.08333333333333333,0.28867513459481287,12,1.7314843399552642,0.08984688783873451,12,23.436934768857753,2.3451007455837094,12,0.9588313413014609,0.006203178837940426,12,0.3333333333333333,0.4923659639173309,12,10.298899630011316,0.5344108858321633,12,15.264828879133786,0.6204658109261968,12
