method,field_rel_l2,hot_region_rel_l2,peak_true,peak_pred,peak_abs_error,true_peak_x,true_peak_y,posterior_mean_at_true_peak,posterior_sd_at_true_peak,peak_ci_lower,peak_ci_upper,true_peak_in_95,shape,shape_label,obs_n,n_observations,n_saturated,actual_frac_saturated,selected_lengthscale,lengthscale,threshold,tuning_strategy,tuning_label,observation_seed,kernel_type,kernel_lengthscale,kernel_lengthscale_y
censored Laplace,0.09006757787894003,0.22198446439260927,1520.195695818044,998.4646299401848,521.7310658778592,0.6034482758620694,0.12068965517241415,976.6547251988745,33.747472794144144,910.509678522352,1042.799771875397,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,3,path_aligned,1.6,0.45
censored sampled,0.08975230532939503,0.2200111668599849,1520.195695818044,993.5835185528018,526.6121772652422,0.6034482758620694,0.12068965517241415,977.4758200801734,33.558157761664106,907.3166363107508,1031.305907842482,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,3,path_aligned,1.6,0.45
oracle true,0.04973514106132664,0.10330317343839387,1520.195695818044,1316.6437372915884,203.55195852645556,0.6034482758620694,0.12068965517241415,1316.6437372915884,14.204019683472072,1288.8038587119831,1344.4836158711937,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.6,1.6,790.7890913339897,path_censored_mll,censored MLL tuned,3,path_aligned,1.6,0.45
exact clipped,0.12080741937296545,0.30182952211059605,1520.195695818044,1052.6238068860098,467.5718889320342,0.6034482758620694,0.12068965517241415,828.1705118750818,39.20841233647386,751.3220236955931,905.0190000545706,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,4,path_aligned,1.1,0.2
discard saturated,0.07762334348791042,0.1561290501417341,1520.195695818044,1280.5054530449684,239.69024277307562,0.6034482758620694,0.12068965517241415,1280.5054530449684,320.37050360049517,652.5792659879978,1908.431640101939,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,4,path_aligned,1.1,0.2
censored Laplace,0.11941916577585036,0.27020369845952236,1520.195695818044,1450.2257631326138,69.9699326854302,0.6034482758620694,0.12068965517241415,1339.2343335903083,305.624607638734,740.2101026183897,1938.258564562227,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,4,path_aligned,1.1,0.2
censored sampled,0.12051029986210375,0.2714891252856119,1520.195695818044,1481.116473009785,39.07922280825892,0.6034482758620694,0.12068965517241415,1480.6613641723682,283.0497292233457,896.2133538514545,2021.3332224010749,True,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,4,path_aligned,1.1,0.2
oracle true,0.06283467139547919,0.12487614142550262,1520.195695818044,1441.045794983856,79.14990083418797,0.6034482758620694,0.12068965517241415,1441.045794983856,39.20841233647386,1364.1973068043671,1517.8942831633449,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,1.1,1.1,790.7890913339897,path_fixed,fixed geometry,4,path_aligned,1.1,0.2
exact clipped,0.1091007484149185,0.28383206175005526,1520.195695818044,861.538858274071,658.656837543973,0.6034482758620694,0.12068965517241415,861.538858274071,12.66706243368589,836.7114159040467,886.3663006440953,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,4,path_aligned,2.1,0.45
discard saturated,0.10908836438855778,0.2765792685248938,1520.195695818044,934.4220364777806,585.7736593402634,0.6034482758620694,0.12068965517241415,934.4220364777806,34.76201704376757,866.2884830719961,1002.5555898835651,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,4,path_aligned,2.1,0.45
censored Laplace,0.08616441138620683,0.21458989442177415,1520.195695818044,997.7152965998941,522.4803992181498,0.6034482758620694,0.12068965517241415,997.7152965998941,28.406475118853088,942.0386053669421,1053.391987832846,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,4,path_aligned,2.1,0.45
censored sampled,0.09082553793432886,0.22791452005147023,1520.195695818044,973.745320298123,546.450375519921,0.6034482758620694,0.12068965517241415,973.745320298123,22.95095954028401,946.353110002044,1035.4807581852147,False,laser_path,moving-laser path,17,289,10,0.03460207612456748,2.1,2.1,790.7890913339897,path_unsat_mll,unsat MLL tuned,4,path_aligned,2.1,0.45
