observation_seed,objective,lengthscale_s,lengthscale_r,negative_log_marginal_likelihood,tuning_strategy,tuning_label
3,censored_mll,0.45,0.45,1623.8527802664416,path_censored_mll,censored MLL tuned
3,censored_mll,0.7,0.1,1849.8857065334446,path_censored_mll,censored MLL tuned
3,censored_mll,0.7,0.14,1782.1299805968124,path_censored_mll,censored MLL tuned
3,censored_mll,0.7,0.18,1733.2509080115206,path_censored_mll,censored MLL tuned
3,censored_mll,0.7,0.24,1675.579654284474,path_censored_mll,censored MLL tuned
3,censored_mll,0.7,0.32,1627.6978443935013,path_censored_mll,censored MLL tuned
3,censored_mll,0.7,0.45,1577.438701735872,path_censored_mll,censored MLL tuned
3,censored_mll,0.95,0.1,1822.5053369738184,path_censored_mll,censored MLL tuned
3,censored_mll,0.95,0.14,1753.3295511486988,path_censored_mll,censored MLL tuned
3,censored_mll,0.95,0.18,1702.1592430755443,path_censored_mll,censored MLL tuned
3,censored_mll,0.95,0.24,1644.1349386030345,path_censored_mll,censored MLL tuned
3,censored_mll,0.95,0.32,1599.8883474944607,path_censored_mll,censored MLL tuned
3,censored_mll,0.95,0.45,1556.432571261052,path_censored_mll,censored MLL tuned
3,censored_mll,1.25,0.1,1794.8578537317344,path_censored_mll,censored MLL tuned
3,censored_mll,1.25,0.14,1726.1962882972027,path_censored_mll,censored MLL tuned
3,censored_mll,1.25,0.18,1675.162099115518,path_censored_mll,censored MLL tuned
3,censored_mll,1.25,0.24,1620.0600196553814,path_censored_mll,censored MLL tuned
3,censored_mll,1.25,0.32,1579.1780119983641,path_censored_mll,censored MLL tuned
3,censored_mll,1.25,0.45,1540.6526593240396,path_censored_mll,censored MLL tuned
3,censored_mll,1.6,0.1,1768.81320754229,path_censored_mll,censored MLL tuned
3,censored_mll,1.6,0.14,1703.5533536348864,path_censored_mll,censored MLL tuned
3,censored_mll,1.6,0.18,1654.069051309273,path_censored_mll,censored MLL tuned
3,censored_mll,1.6,0.24,1602.84188093281,path_censored_mll,censored MLL tuned
3,censored_mll,1.6,0.32,1568.3373731282416,path_censored_mll,censored MLL tuned
3,censored_mll,1.6,0.45,1535.9442177966475,path_censored_mll,censored MLL tuned
3,censored_mll,2.1,0.1,1741.6965377364595,path_censored_mll,censored MLL tuned
3,censored_mll,2.1,0.14,1686.2809230761254,path_censored_mll,censored MLL tuned
3,censored_mll,2.1,0.18,1641.0537305539071,path_censored_mll,censored MLL tuned
3,censored_mll,2.1,0.24,1593.6445530394526,path_censored_mll,censored MLL tuned
3,censored_mll,2.1,0.32,1567.0783576317579,path_censored_mll,censored MLL tuned
3,censored_mll,2.1,0.45,2195.1260901913984,path_censored_mll,censored MLL tuned
4,unsat_mll,0.45,0.1,1869.6843159563416,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.45,0.14,1818.8405377341446,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.45,0.18,1782.5444339786084,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.45,0.24,1737.5412224741112,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.45,0.32,1691.342466569855,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.45,0.45,1635.407295092241,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.7,0.1,1841.0079205513762,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.7,0.14,1785.2492712400508,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.7,0.18,1743.5671533665125,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.7,0.24,1692.1719478736197,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.7,0.32,1640.6044494122298,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.7,0.45,1582.2639674976467,path_unsat_mll,unsat MLL tuned
4,unsat_mll,0.95,0.1,1814.0384055584625,path_unsat_mll,unsat MLL tuned
